id,zb_id,valence,continent,fips,strategy,theme,variable,type,conclusion
1,1.1.1,0,africa,GB,FSC,ENV,canopylossgapsize,type3,Difference in felling gap size per tree harvested not significant
2,1.1.2,1,africa,GB,FSC,ENV,carbonstockemissions,type3,Significantly less biomass converted to necromass
3,1.1.3,1,africa,GB,FSC,ENV,collateraldamage,type3,Significantly fewer trees destroyed per tree extracted
4,1.1.4,1,africa,GB,FSC,ENV,grounddisturbance,type3,Less above-ground biomass destroyed
5,1.1.5,1,africa,GB,FSC,ECON,harvestefficiency,type3,More commercial timber wasted in conventional logging concession
6,1.1.6,1,africa,GB,FSC,ENV,roadandskidtraildensity,type3,"Even though per tree extracted, there is not a significant difference in all measures employed, overall, there are fewer and narrower skid trails and roads in the certified concession"
7,1.1.7,1,africa,GB,FSC,ECON,timberstock(sustainabilityofincome),type3,Significantly lower logging intensity in certified concession
8,1.1.8,0,africa,GB,FSC,ENV,treediversity,type3,"Before and after logging comparison of CL and FSC, both very little change, and no significant change"
9,1.10.1,1,global,GLOBE,FSC,ENV,deforestationfragmentationanddegradation,type1,"The higher the area of FSC-certified forest in a country, the less deforestation there is. This is not however a cause-and-effect relationship."
10,1.11.1,1,southandcentralamerica,BR,FSC,ENV,canopylossgapsize,type3,Lower canopy damage per tree
11,1.11.2,1,southandcentralamerica,BR,FSC,ENV,roadandskidtraildensity,type3,"Lower average % road, deck, and skid area in RIL harvest blocks"
12,1.12.1,1,asia,MY,FSC,ENV,animaldiversity,type3,Higher diversity and species richness of dung beetles was found in the RIL cutting blocks.
13,1.12.2,1,asia,MY,FSC,ENV,animaldiversity,type3,Higher number of forest specialist species of dung beetles was found in RIL cutting blocks.
14,1.13.1,1,asia,ID,FSC,ENV,collateraldamage,type3,Lower tree injury rate in RIL cutting blocks
15,1.13.2,1,asia,ID,FSC,ENV,roadandskidtraildensity,type3,Less skidding damage in RIL cutting blocks
16,1.14.1,1,southandcentralamerica,"BR,VE,NS,PA",FSC,ENV,grounddisturbance,type3,"Even when logging intensity is taken into account, ground disturbance is lower in RIL and certified concessions."
17,1.16.1,1,southandcentralamerica,BR,FSC,ECON,profit,type3,"When all regulations are fulfilled, in the 1st harvest cycle, RIL is more profitable than CL"
18,1.17.1,-1,southandcentralamerica,BR,FSC,ENV,canopylossgapsize,type3,"Brazil-W, gap size was higher in RIL concession"
19,1.17.2,1,southandcentralamerica,BR,FSC,ENV,canopylossgapsize,type3,"Brazil-W, canopy loss was higher in CL concession"
20,1.17.3,-1,southandcentralamerica,BR,FSC,ENV,collateraldamage,type3,"Brazil-W, there were fewer damaged trees in CL concession"
21,1.17.4,1,southandcentralamerica,BR,FSC,ENV,grounddisturbance,type3,"Brazil-W, ground area disturbed was lower in RIL concession"
22,1.17.5,-1,southandcentralamerica,BR,FSC,ECON,preloggingcosts,type3,"Brazil-W, planning and infrastructure costs were lower for CL operations"
23,1.17.6,-1,southandcentralamerica,BR,FSC,ECON,skiddingcost,type3,"Brazil-W, productivity of RIL skidding was lower (more careful skidding is required)"
24,1.17.7,1,southandcentralamerica,BR,FSC,ECON,workerproductivity,type3,"Brazil-W, productivity of workers was higher in RIL concessions"
25,1.18.1,1,southandcentralamerica,BR,FSC,ENV,canopylossgapsize,type3,"Taking the number of trees felled into account, there was less canopy loss in RIL concession"
26,1.18.2,1,southandcentralamerica,BR,FSC,ENV,grounddisturbance,type3,"Taking the number of trees felled into account, there was less ground disturbance in the RIL concession"
27,1.19.1,-1,southandcentralamerica,BL,FSC,ECON,pricepremium,type3,Benches of Amburana cearensis brought higher prices when not certified
28,1.19.10,1,southandcentralamerica,BL,FSC,ECON,pricepremium,type3,Hura crepitans doors brought higher price when certified
29,1.19.11,1,southandcentralamerica,BL,FSC,ECON,pricepremium,type3,Boards of Hymenea courbaril brought slightly higher price when certified
30,1.19.12,0,southandcentralamerica,BL,FSC,ECON,pricepremium,type3,Boards of certified Cariniana sp did not differ in price from non-certified
31,1.19.13,0,southandcentralamerica,BL,FSC,ECON,pricepremium,type3,Boards of Hura crepitans did not differ in price with certification
32,1.19.2,0,southandcentralamerica,BL,FSC,ECON,pricepremium,type3,Boards of Phyllostylon rhamnoides did not differ in price with certification
33,1.19.3,1,southandcentralamerica,BL,FSC,ECON,pricepremium,type3,Amburana cearensis sawn wood brought higher price if certified
34,1.19.4,1,southandcentralamerica,BL,FSC,ECON,pricepremium,type3,Vochysia haenkeana sawnwood brought higher price when certified
35,1.19.5,1,southandcentralamerica,BL,FSC,ECON,pricepremium,type3,Boards of Ficus spp brought higher price when certified
36,1.19.6,1,southandcentralamerica,BL,FSC,ECON,pricepremium,type3,Boards of Vochysia haenkeana brought higher price when certified
37,1.19.7,1,southandcentralamerica,BL,FSC,ECON,pricepremium,type3,Ficus spp doors brought higher price when certified
38,1.19.8,1,southandcentralamerica,BL,FSC,ECON,pricepremium,type3,Doors from Cariniana sp brought higher price when certified
39,1.19.9,1,southandcentralamerica,BL,FSC,ECON,pricepremium,type3,Vochysia haenkeana doors brought higher price when certified
40,1.20.1,1,asia,ID,FSC,ENV,canopylossgapsize,type3,"Canopy damage was lower in RIL cutting blocks, harvest intensity controlled for"
41,1.20.2,1,asia,ID,FSC,ENV,collateraldamage,type3,"There were fewer trees destroyed in RIL cutting blocks, harvest intensity controlled for"
42,1.20.3,0,asia,ID,FSC,ENV,collateraldamage,type3,"There was about the same number of trees injured, harvest intensity controlled for"
43,1.20.4,0,asia,ID,FSC,ENV,collateraldamage,type3,"Under higher logging intensities, collateral damage was about the same in RIL and CL cutting blocks"
44,1.20.5,1,asia,ID,FSC,ENV,roadandskidtraildensity,type3,"Damage due to skidding was lower in RIL cutting blocks, harvest intensity controlled for"
45,1.21.1,0,africa,CM,FSC,ENV,collateraldamage,type3,"Vine cutting, which is a practice that is typically part of Reduced Impact Logging, did not significantly change the level of collateral damage"
46,1.22.1,1,asia,MY,FSC,ENV,carbonstockemissions,type3,Percentage of biomass loss lower in RIL concession
47,1.22.2,1,asia,MY,FSC,ENV,collateraldamage,type3,"Controlling for logging intensity, collateral damage was lower in RIL concession"
48,1.23.1,1,asia,MY,FSC,ENV,collateraldamage,type3,"Proportion of basal area killed relative to timber extracted was lower in RIL concession, controlled for logging intensity"
49,1.23.2,1,asia,MY,FSC,ENV,collateraldamage,type3,"Percentage of uprooted and crushed trees, snapped crowns was lower in RIL concession"
50,1.23.3,1,asia,MY,FSC,ENV,grounddisturbance,type3,"Area of soil damaged, disturbance to top soils was lower in RIL concession"
51,1.23.4,-1,asia,MY,FSC,ECON,totalcostofloggingoperations,type3,Direct operation costs were higher in the case of RIL
