id,zb_id,valence,fips,strategy,theme,variable,type,conclusion
1,7.1.1,1,MX,MPA,ENV,diversity,type6,Fish species richness increased signficantly from a mean of 15 to 25 species in the MPA with the largest proportion of no-take zone (35% in Cabo Pulmo National Park).
2,7.1.2,-1,MX,MPA,ENV,diversity,type6,Fish species richness declined in MPAs with a lower proportion of no-take zones (0-16% no-take zone).
3,7.1.3,0,MX,MPA,ENV,biomass,type6,Fish biomass increased between 12-15% depending on trophic level in the MPA with the greatest propotion of no-take zone of (35%). Total biomass increased from 0.75 - 4.24 t ha-1 (463%) and predator biomass increased by 1070%.
4,7.1.4,0,MX,MPA,ENV,biomass,type6,"Fish biomass did not change signficantly in two categories of MPA (0-16% no-take zone). MPAs with smaller no-take zones had a small non-significant recovery and accessible areas had a small, non-significant decline in quality."
5,7.1.5,1,MX,MPA,ENV,diversity,type6,The diversity of predator fish increased significantly in the MPA with the greatest propotion of no-take zone of (35%).
6,7.1.6,0,MX,MPA,ENV,diversity,type6,The diversity of predator fish decreased or remained the same in other MPAs with lower proportions (0-16%) of no-take zone.
7,7.10.1,1,SP,MPA,ENV,biomass,type6,There was signficantly higher biomass of edible spiny lobsters (Palinurus elephas) in MPAs than unprotected areas during the advanced stage when the reserve was 21-25 years old.
8,7.10.2,1,SP,MPA,ENV,density,type6,There was a signficantly higher density of edible spiny lobsters (Palinurus elephas) inside MPAs than unprotected areas during the advanced stage when the reserve was 21-25 years old. Density ratios ranged from 0.03 to 0.13.
9,7.10.3,1,SP,MPA,ENV,abundance,type7,"In the absence of fishing mortality, old and large edible spiny lobsters (Palinurus elephas) accumulate within the MPA."
10,7.10.4,1,SP,MPA,ENV,reproductivesuccess,type7,"Relative reproductive potential of females increased in the MPA but in fished areas relative reproductive potential remained roughly stable. During the advanced MPA period, egg production per unit area in the fished areas ranged from 2%–4% of that in the MPA."
11,7.11.1,-1,ID,MPA,SOC,compliancewithlawsandregulations,type7,Illegal activities continue including fertilizer bombing (for coral) and potassium cyanide poisoning (poaching Napolean wrase for live fish trade).
12,7.11.2,-1,ID,MPA,SOC,communitywellbeingandlivelihoods,type7,"Community attitudes toward endangered and restricted species were generally positive, providing no net economic loss. Locals are unhappy that they are prohibited from catching Napolean wrasse, certain shells and giant clams. Despite their support in principle for conservation resources, interviewees expressed disapproval of the current and future restrictions that the creation of the park had brought, with an overall negative attitude towards the park and its management. Most people felt that the park would not have any direct benefits for them."
13,7.11.3,-1,ID,MPA,SOC,awarenessempowermentparticipation,type7,"The majority of people living in a village (90%) close to a MPA stated that they were not well informed about the MPA and did not understand its purpose because they had never been formally informed by park rangers or officials. Of the 133 people interviewed in 1998 after the Management Plan was officially mandated, nearly 80% were not able to identify the locations or purpose of the zones in the park. Almost all commented that they did not understand how the park was to be managed. There was widespread disapproval and confusion about the new rules and regulations, and people indicated that they felt that these restrictions made their lives increasingly difficult."
