id,zb_id,valence,fips,strategy,theme,variable,type,conclusion
1,4.1.1,1,BR,PAS,ENV,deforestationfragmentationanddegradation,type5,"There were significantly fewer fires inside than outside of protected areas. The difference was particularly high close to roads. However, some fires still did occur within protected areas. The type of protected area did not make a significant difference."
2,4.10.1,1,BR,PAS,ENV,deforestationfragmentationanddegradation,type4,"Between 2002 and 2009, protected areas had lower habitat conversion rate than matched, comparable unprotected sites. This result held for individuals PAs as well as for PA networks as a whole."
3,4.11.1,0,CB,PAS,SOC,communitywellbeingandlivelihoods,type4,"Even though households that bordered the two examined protected areas were richer than households within the protected areas, this difference was not due to the existence of the PA. Rather, it was due the distance to the capital, and other village characteristics."
4,4.11.2,1,CB,PAS,SOC,communitywellbeingandlivelihoods,type4,"When village differences were taken into account, households outside the protected areas were poorer than households inside the protected area."
5,4.12.1,1,PAN,PAS,ENV,animaldiversity,type2,"Protected areas had significantly higher number of species and individuals of mammals, birds, reptiles, amphibians, and arthropods, when compared to the adjacent areas."
6,4.12.2,0,PAN,PAS,ENV,treediversity,type2,Protected areas had similar number of species and abundance of plants as areas adjacent to the protected areas.
7,4.13.1,-1,ID,PAS,ENV,deforestationfragmentationanddegradation,type6,"38% of Gunung Palung National Park's (GPNP) lowlands were deforested (1,900 ha a year). Once forest in the buffer zone of GPNP was almost depleted, the deforestation rate within the PA exceeded that of the buffer zone. Kalimantan's protected lowland forests declined by more than 56% (>2,900,000 ha) between 1985 and 2001. West Kalimantan's lowland PAs were reduced by 63% (~1,850,000 ha). Outside of West Kalimantan, within ~2,310,000 ha of lowland PA, ~1,110,000 ha (48%) lowland forest cover was lost."
8,4.14.1,0,"ID,CB,MY,IN,TH,CH,VM,RP,AS,JA,NP,TW,BX",PAS,ENV,deforestationfragmentationanddegradation,type6,"Moist forests declined by 2.7 percentage points within the protected areas, and by 5.4 percentage points within the 50km buffer zone. Dry forests declined by 5.4 percentage points in and by 5.7 percentage points outside of the PAs. The decline in forest cover was significant both in and out of the PAs, but there was no significant difference between the two rates of loss, suggesting that the PAs were not effective."
9,4.14.2,1,"BR,BL,CO,PE,AR,BH,HO,PM,CS,VE,GT,EC,NU,PA",PAS,ENV,deforestationfragmentationanddegradation,type6,"Moist forests within protected areas declined by 1.1 percentage points and by 4.8 percentage points in the surrounding 50km buffer zone. Dry forests within PAs declined by 0.4 percentage points, and by 5.3 percentage points in the 50km buffer zone. The decline in forests within PAs was significantly lower than in the buffer zones."
10,4.14.3,1,"KE,CT,CG,IV,CF,MI,LI",PAS,ENV,deforestationfragmentationanddegradation,type6,"Moist forests declined by 1.9 percentage points within the protected areas and by 3.6 percentage points in a 50km buffer zone. The rate of decline in the protected areas was significantly lower than in the buffer zone, suggesting that the protected areas were effective."
11,4.14.4,1,MA,PAS,ENV,deforestationfragmentationanddegradation,type6,"Moist forests experienced no loss within protected areas, and declined by 12.6 percentage points in a 50km buffer zone. Dry forests experienced no loss within protected areas and declined by 2.9 percentage points in the 50km buffer zone. The rate of loss was significantly higher in the buffer zone than in the protected area."
12,4.15.1,-1,CS,PAS,SOC,communitywellbeingandlivelihoods,type4,"Protection of land that has high agricultural suitability has exacerbated poverty. However, poverty reduction on low-capacity lands are quite large, see separate result. The results were further affected by slope, distance to major cities, % of agricultural workers, but not by initial poverty."
13,4.15.2,1,CS,PAS,ENV,deforestationfragmentationanddegradation,type4,"Protecting land significantly reduced deforestation. However, protecting land that had high suitability for agriculture resulted in significantly higher levels of avoided deforestation (by 32.4%) than land with low agricultural capacity (by 9%). Additionally, the magnitude of the effect was influenced by slope, distance to major city, and % of agricultural workers, but not by initial levels of poverty."
14,4.15.3,1,CS,PAS,ENV,deforestationfragmentationanddegradation,type4,"Protection of land that has low agricultural suitability decreased poverty. However, poverty on high-capacity lands was exacerbated, see separate result. The results were further affected by slope, distance to major cities, % of agricultural workers, but not by initial poverty."
15,4.16.1,1,BL,PAS,ENV,deforestationfragmentationanddegradation,type4,Strict protection significantly reduced deforestation rates between 1992 and 2000. 2.3% of strictly protected forests would have been deforested had they had no protection.
16,4.16.2,1,CS,PAS,ENV,deforestationfragmentationanddegradation,type4,Stricter protection significantly reduced deforestation rates between 1960 and 1997. 16.7% of strictly protected forests would have been deforested had they had no protection.
17,4.16.3,1,ID,PAS,ENV,deforestationfragmentationanddegradation,type4,Stricter protection significantly reduced deforestation rates between 2000 and 2006 in Sumatra. 10.4% of strictly protected forests would have been deforested had they had no protection.
18,4.16.4,1,TH,PAS,ENV,deforestationfragmentationanddegradation,type4,Stricter protection significantly reduced deforestation rates between 1973 and 2000. 13.9% of strictly protected forests would have been deforested had they had no protection.
19,4.17.1,0,BR,PAS,SOC,awarenessempowermentparticipation,type7,"Less than two thirds of residents (61.67%) within a 12-km radius of the protected area were aware they lived inside or close to a PA (we consider values between 33 and 66% as neutral). Additionally, a large majority (80.00%) of residents considered the creation of the PA important. However, only 46.67% understood why the PA was created."
20,4.17.10,0,BR,PAS,SOC,conflict,type7,The majority of residents (68.33%) stated that they did not have any kind of contact with protected area staff. 21.67% had a positive relationship and 10.00% had a negative relationship with PA staff.
21,4.17.11,1,BR,PAS,SOC,conflict,type7,"The majority of residents (72.97%) stated that they had a positive relationship with protected area staff. 16.22% stated that they did not have any kind of contact with PA staff, and 10.81% stated they had a negative relationship with PA staff."
22,4.17.12,1,BR,PAS,SOC,conflict,type7,The majority of residents (57.14%) stated that they had a positive relationship with protected area staff. 41.43% did not have any kind of contact and 1.42% had a negative relationship with PA staff.
23,4.17.2,1,BR,PAS,SOC,awarenessempowermentparticipation,type7,"The majority of residents (85.92%) within a 12-km radius of the protected area were aware they lived inside or close to a PA. Additionally, a large majority (91.55%) of residents considered the creation of the PA important. However, only 40.85% understood why the PA was created."
24,4.17.3,1,BR,PAS,SOC,awarenessempowermentparticipation,type7,"The majority of residents (97.30%) within a 12-km radius of the protected area were aware they lived inside or close to a PA. Additionally, the majority (67.12%) of residents considered the creation of a PA important. However, only 40.54% understood why the PA was created."
25,4.17.4,1,BR,PAS,SOC,awarenessempowermentparticipation,type7,"The majority of residents (78.57%) within a 12-km radius of the protected area were aware they lived inside or close to a PA. Additionally, a large majority (91.00%) of residents considered the creation of the PA important. However, only 25.71% understood why the PA was created."
26,4.17.5,0,BR,PAS,SOC,communitywellbeingandlivelihoods,type7,45.07% of residents within a 12-km radius of the protected area stated that their life conditions did not change after PA establishment. 14.08% of residents stated that their life conditions were better after and 5.63% before PA establishment. The rest did not answer.
27,4.17.6,0,BR,PAS,SOC,communitywellbeingandlivelihoods,type7,40.54% of residents within a 12-km radius of the protected area stated that their life conditions did not change after PA establishment. 39.19% of residents stated that their life conditions were better after and 20.27% before PA establishment. The rest did not answer.
28,4.17.7,0,BR,PAS,SOC,communitywellbeingandlivelihoods,type7,46.67% of residents within a 12-km radius of the protected area stated that their life conditions did not change after PA establishment. 8.36% of residents stated that their life conditions were better after and 28% before PA establishment. The rest did not answer.
29,4.17.8,0,BR,PAS,SOC,communitywellbeingandlivelihoods,type7,52.86% of residents within a 12-km radius of the protected area stated that their life conditions did not change after PA establishment. 2.86% of residents stated that their life conditions were better after and 42.86% before PA establishment. The rest did not answer.
30,4.17.9,0,BR,PAS,SOC,conflict,type7,"The majority of residents (60.53%) stated that they did not have any kind of contact with protected area staff. 38.03% did state that they had a positive relationship with PA staff, 1.41% had a negative relationship."
31,4.18.1,1,MX,PAS,ENV,deforestationfragmentationanddegradation,type6,"Between 1993 and 2002, 44.4% of national parks were effective, 22.2% were weakly effective, and 33.3% were non-effective. Effectiveness was evaluated through an index that measured aspects of vegetation transformation."
32,4.19.1,1,ID,PAS,ENV,deforestationfragmentationanddegradation,type4,"Rates of deforestation were lower inside protected areas than in adjacent unprotected areas in Sumatra between 1990 and 2000; mean difference in 10 year deforestation rate between the adjacent 10-km unprotected area and forest within the protected area was 7.4 percentage points. However, even protected areas suffered a substantial forest loss."
33,4.19.2,1,ID,PAS,ENV,deforestationfragmentationanddegradation,type4,"Rates of deforestation were lower inside protected areas than in the unprotected wider landscape of Sumatra between 1990 and 2000; mean difference in 10 year deforestation rate in protected areas and in the baseline of the wider landscape was 24 percentage points. However, even protected areas suffered a substantial forest loss."
34,4.2.1,1,CS,PAS,ENV,deforestationfragmentationanddegradation,type4,"Protected areas caused a decrease in deforestation. 64,993 – 82,198 ha of the 903,407 ha (7-9%) of Costa Rican forest protected between 1960 and 1996 would have been deforested by 1997 in the absence of protection. Leakage of deforestation to neighbouring areas was minimal."
35,4.20.1,0,"UG,NP,IN,KE,TZ,MA,BL,BR,EC,GT,HO,MX",PAS,ENV,deforestationfragmentationanddegradation,type6,"There was no significant difference in forest conditions between legally protected forests (all IUCN categories) and forests that were not legally protected. However, the unprotected forests were governed by users who established and recognised forest rules to a different degree (some did not have any rules)."
36,4.21.1,1,"NS,FG,GY,EC,PE,CO,VE,BL,BR,CI,UY,AR,PA",PAS,ENV,deforestationfragmentationanddegradation,type6,Percentage loss of forest was lower within the protected areas (1%) than total loss (5%). We assign a positive value to differences of at least 1 percentage point.
37,4.21.2,0,"CU,HA,CS,GT,HO,DR,MX,PM,NU,BH",PAS,ENV,deforestationfragmentationanddegradation,type6,Percentage loss of forest was about the same within the protected areas (5%) as total loss (5%). We assign a neutral value to differences smaller than 1 percentage point.
38,4.21.3,1,"RP,BG,BM,BX,SN,VM,LA,TH,ID,CB,MY",PAS,ENV,deforestationfragmentationanddegradation,type6,Percentage loss of forest was lower within the protected areas (4%) than total loss (8%). We assign a positive value to differences of at least 1 percentage point.
39,4.21.4,1,"IN,CE",PAS,ENV,deforestationfragmentationanddegradation,type6,Percentage loss of forest was lower within the protected areas (1%) than total loss (2%). We assign a positive value to differences of at least 1 percentage point.
40,4.21.5,1,"ML,UV,NI,BN,AG,BC,IV,AO,GB,ET,CF,SU,CT,GV,CM,SG,EK,CG,RE,RW,MP,SL,UG,ZA,MI,GH,TZ,TO,CD,MZ,GA,MA,KE,ZI,WA",PAS,ENV,deforestationfragmentationanddegradation,type6,Percentage loss of forest was lower within the protected areas (2%) than total loss (3%). We assign a positive value to differences of at least 1 percentage point.
41,4.21.6,-1,"PP,NC,AS",PAS,ENV,deforestationfragmentationanddegradation,type6,Percentage loss of forest was higher within the protected areas (5%) than total loss (4%). We assign a negative value to differences of at least 1 percentage point.
42,4.22.1,-1,BM,PAS,ENV,deforestationfragmentationanddegradation,type6,"Forest degradation was about the same inside and outside the park between 1989 and 2000, and higher inside the park than outside between 2000 and 2005. However, see related result on deforestation."
43,4.22.2,1,BM,PAS,ENV,deforestationfragmentationanddegradation,type6,"Deforestation was lower inside the park than in its vicinity during both study periods, between 1989 and 2000, and between 2000 and 2005. However, see related result on forest degradation."
44,4.23.1,1,PA,PAS,ENV,deforestationfragmentationanddegradation,type6,"16 out of 23 protected areas experienced forest cover change on less than 10% of their area in the 1990s and 2000s. The buffer zone of many protected areas experienced forest cover change on about 30% of the area. Whereas this means that protected areas are likely effective, clearing in the immediate vicinity poses a threat to the protected areas."
45,4.24.1,1,PAN,PAS,ENV,deforestationfragmentationanddegradation,type4,75% of countries (this includes all countries in the world that had more than 100km2 of protected areas) showed that protected areas reduced forest clearing. Comparing the protected areas with rigorously selected controls lowered the amount by which deforestation was reduced by about 50%.
46,4.25.1,1,PAN,PAS,ENV,deforestationfragmentationanddegradation,type6,"Protected areas were successful in protecting natural vegetation cover between 1980 and 2000. In the Amazon and Congo basins, the PAs were relatively large and inaccessible, pointing to success due to lack of threat. In the Atlantic forest and West Africa, surrounding areas lost of lot of vegetation, pointing to actual effectiveness of protected areas."
47,4.26.1,0,IN,PAS,SOC,accesstoland,type7,"Less than half (48.9%) of respondents on average (between 7.1 and 75.4%) saw restrictions on access to resources as a major problem caused by the protected areas. Less than half (49.3%, between 19.1 and 70.8%) saw restrictions on livestock grazing areas as a major problem caused by the PAs."
48,4.26.2,-1,IN,PAS,SOC,communitywellbeingandlivelihoods,type7,"Less than a third of respondents indicated that their family benefited financially from tourism (0.5-19.3%), and that tourism offers financial opportunities that offset losses from conservation (0-31.8%). Whereas this represents only a subset of questions that the authors asked about tourism, the remaining, less direct questions did not indicate that tourism would be beneficial to the communities."
49,4.26.3,-1,IN,PAS,SOC,communitywellbeingandlivelihoods,type7,"More than half of the respondents (53.2% on average, between 37.1 and 78.2%) stated that their situation was worsened by conservation efforts."
50,4.26.4,0,IN,PAS,ECON,directeconomicbenefits,type7,"Less than half of respondents saw the loss of economic opportunities from restrictions on non-timber forest product collection (37.5% on average), grazing (29.5%), fuel wood collection (26.8%), hunting (12.6%), and fishing (12.8%) as a major problem caused by the protected areas."
51,4.26.5,0,IN,PAS,ECON,directeconomicbenefits,type7,"Less than half (47.6%, between 8.3 and 69.3%) of respondents on average saw the inability to meet livelihood needs as a major problem caused by the protected areas."
52,4.26.6,0,IN,PAS,SOC,conflict,type7,Between 17.3 and 54.9% (40.9% on average) of respondents across the 3 protected areas saw confrontations with conservation authorities as a major problem caused by the protected areas.
53,4.26.7,-1,IN,PAS,SOC,humanwildlifeconflict,type7,"In all three protected areas, most respondents (78 - 92%) regarded damage to crops caused by wild animals a major problem caused by the protected areas. Moreover, on average 58.9% (between 24.6 and 74.8%) of respondents saw the protected area as a threat to human safety."
54,4.26.8,0,IN,PAS,ENV,waterregulationerosionprevention,type7,"Less than half of respondents perceived that the protected area provided clean water (48.5% on average, between 27 and 83.1%). On average, 4.5% of respondents (between 0 and 8.7%) perceived that the protected area regulates climate."
55,4.27.1,-1,IN,PAS,SOC,humanwildlifeconflict,type7,Distance to protected area was significant in explaining self-reported crop and livestock loss. There was higher incidence of human-wildlife conflict closer to the national park.
56,4.28.1,-1,IN,PAS,SOC,humanwildlifeconflict,type7,Distance to protected area was significant in explaining self-reported crop and livestock loss. There was higher incidence of human-wildlife conflict closer to protected areas in the Western Ghats.
