zb_id,valence,continent,country,strategy,theme,variable,strength
1.1.1,-1,Africa,Gabon,FSC,ENV,"Canopy loss, gap size",
1.1.2,1,Africa,Gabon,FSC,ENV,"Carbon stock, emissions",
1.1.3,,Africa,Gabon,FSC,ENV,Collateral damage,
1.1.4,,Africa,Gabon,FSC,ENV,Ground disturbance,
1.1.5,,Africa,Gabon,FSC,ECON,Harvest efficiency,
1.1.6,-1,Africa,Gabon,FSC,ENV,Road and skid trail density,
1.1.7,1,Africa,Gabon,FSC,ECON,Timber stock (sustainability of income),
1.1.8,1,Africa,Gabon,FSC,ENV,Tree diversity,
1.10.1,1,Global,Global,FSC,ENV,"Deforestation, fragmentation and burning",
1.11.1,1,South America,Brazil,FSC,ENV,"Canopy loss, gap size",
1.11.2,1,South America,Brazil,FSC,ENV,Road and skid trail density,
1.12.1,1,Asia,Malaysia,FSC,ENV,Animal diversity,
1.12.2,1,Asia,Malaysia,FSC,ENV,Animal diversity,
1.13.1,1,Asia,Indonesia,FSC,ENV,Collateral damage,
1.13.2,1,Asia,Indonesia,FSC,ENV,Road and skid trail density,
1.14.1,1,South America,South America,FSC,ENV,Road and skid trail density,
1.15.1,-1,South America,Brazil,FSC,SOC,"Awareness, empowerment, participation",
1.15.10,1,South America,Brazil,FSC,ENV,Hunting,
1.15.11,1,South America,Brazil,FSC,ENV,Hunting,
1.15.12,,South America,Brazil,FSC,SOC,Infrastructure and Institutions,
1.15.13,1,South America,Brazil,FSC,SOC,Internal conflict,
1.15.14,1,South America,Brazil,FSC,SOC,"Land grabbing, land tenure",
1.15.15,-1,South America,Brazil,FSC,SOC,Living and working conditions of employees,
1.15.16,1,South America,Brazil,FSC,SOC,Living and working conditions of employees,
1.15.17,1,South America,Brazil,FSC,ENV,Set asides and buffer zones,
1.15.2,-1,South America,Brazil,FSC,SOC,"Awareness, empowerment, participation",
1.15.3,-1,South America,Brazil,FSC,SOC,"Awareness, empowerment, participation",
1.15.4,1,South America,Brazil,FSC,SOC,Community wellbeing and livelihoods,
1.15.5,1,South America,Brazil,FSC,SOC,Community wellbeing and livelihoods,
