id,zb_id,valence,fips,strategy,theme,variable,type,conclusion
1,1.1.1,0,GB,FSC,ENV,canopylossgapsize,type3,Difference in felling gap size per tree harvested was not significant between certified and conventional concession.
2,1.1.2,1,GB,FSC,ENV,carbonstockemissions,type3,"Significantly less biomass was converted to necromass in the certified concession, compared to conventionally logged concession."
3,1.1.3,1,GB,FSC,ENV,collateraldamage,type3,"Significantly fewer trees were destroyed per tree extracted in the certified concession, compared to conventionally logged concession."
4,1.1.4,1,GB,FSC,ENV,grounddisturbance,type3,"Less above-ground biomass destroyed in the certified concession, compared to conventionally logged concession."
5,1.1.5,1,GB,FSC,ECON,harvestefficiency,type3,"More commercial timber wasted in the conventional logging concession, compared to the certified concession."
6,1.1.6,1,GB,FSC,ENV,roadandskidtraildensity,type3,"Even though per tree extracted, there was not a significant difference in all measures of road and skid trail density employed, overall, there were fewer and narrower skid trails and roads in the certified concession, compared to the conventionally logged concession."
7,1.1.7,1,GB,FSC,ECON,timberstock(sustainabilityofincome),type3,There was a significantly lower logging intensity in certified concession compared to the conventionally logged concession.
8,1.1.8,0,GB,FSC,ENV,treediversity,type3,"Before and after logging comparison of CL and FSC showed very little change in tree species density in both concessions, and there was no significant difference in the change."
9,1.10.1,1,PAN,FSC,ENV,deforestationfragmentationanddegradation,type1,"The higher the area of FSC-certified forest in a country, the less deforestation there was. This is not however a cause-and-effect relationship."
10,1.11.1,1,BR,FSC,ENV,canopylossgapsize,type3,There was lower canopy damage per tree harvested under Reduced Impact Logging compared to conventional logging.
11,1.11.2,1,BR,FSC,ENV,roadandskidtraildensity,type3,"The percentage of forest area that was occuppied by roads, decks, and skidding areas was lower in Reduced Impact Logging harvest blocks compared to conventionally logged blocks."
12,1.12.1,1,MY,FSC,ENV,animaldiversity,type3,The diversity and species richness of dung beetles was higher in Reduced Impact Logging cutting blocks compared to conventionally logged blocks.
13,1.12.2,1,MY,FSC,ENV,animaldiversity,type3,The number of forest specialist species of dung beetles was higher in Reduced Impact Logging cutting blocks compared to conventionally logged blocks.
14,1.13.1,1,ID,FSC,ENV,collateraldamage,type3,"The tree injury rate in was lower in Reduced Impact Logging cutting blocks compared to conventionally logged blocks, even when adjusted for logging intensity differences."
15,1.13.2,1,ID,FSC,ENV,roadandskidtraildensity,type3,"There was less skidding damage in Reduced Impact Logging cutting blocks, when compared to conventionally logged blocks, even when adjusted for logging intensity differences."
16,1.14.1,1,"BR,VE,NS,PA",FSC,ENV,grounddisturbance,type3,"Even when logging intensity differences were taken into account, ground disturbance was lower under Reduced Impact Logging and forest certification, compared to conventional logging."
17,1.16.1,1,BR,FSC,ECON,profit,type3,"When all regulations were fulfilled, in the 1st harvest cycle, Reduced Impact Logging was more profitable than conventional logging."
18,1.17.1,-1,BR,FSC,ENV,canopylossgapsize,type3,The gap size was higher in Reduced Impact Logging concession compared to conventional logging concession.
19,1.17.2,1,BR,FSC,ENV,canopylossgapsize,type3,Canopy loss was higher in conventional logging concession compared to Reduced Impact Logging concession.
20,1.17.3,-1,BR,FSC,ENV,collateraldamage,type3,There were fewer damaged trees in conventional logging concession compared to Reduced Impact Logging concession.
21,1.17.4,1,BR,FSC,ENV,grounddisturbance,type3,"The ground area disturbed was lower in Reduced Impact Logging concession, compared to conventional logging concession."
22,1.17.5,-1,BR,FSC,ECON,preloggingcosts,type3,Planning and infrastructure costs were lower for conventional logging operations copared to Reduced Impact Logging operations.
