key,name,description,author,pubyear,url
1.1,"Certified and uncertified logging concessions compared in Gabon: Changes in stand structure, tree species, and biomass.",,Medjibe et al. 2013,2013,https://link.springer.com/article/10.1007/s00267-012-0006-4
1.10,"Unsustainable timber harvesting, deforestation and the role of certification.",,Damette and Delacote 2011,2011,http://www.sciencedirect.com/science/article/pii/S0921800911000553
1.11,Canopy Damage and Recovery After Selective Logging in Amazonia: Field and Satellite Studies,,Asner et al. 2004,2004,http://onlinelibrary.wiley.com/doi/10.1890/01-6019/full
1.12,Does Reduced-Impact Logging Help Preserve Biodiversity in Tropical Rainforests? A Case Study from Borneo using Dung Beetles (Coleoptera: Scarabaeoidea) as Indicators.,,Davis 2000,2000,http://www.bioone.org/doi/abs/10.1603/0046-225X-29.3.467
1.13,"An experimental comparison of different harvesting intensities with reduced- impact and conventional logging in East Kalimantan, Indonesia.",,Bertault and Sist 1997,1997,http://www.sciencedirect.com/science/article/pii/S0378112796039746
1.14,When big trees fall?: Damage and carbon export by reduced impact logging in southern Amazonia.,,Feldpausch et al. 2005,2005,http://www.sciencedirect.com/science/article/pii/S0378112705005232
1.16,Financial returns under uncertainty for conventional and reduced-impact logging in permanent production forests of the Brazilian Amazon.,,Boltz et al. 2001,2001,http://www.sciencedirect.com/science/article/pii/S0921800901002312
1.17,Environmentally Sound Forest Harvesting: Testing the Applicability of the FAO Model Code in the Amazon in Brazil,,Winkler 1997,1997,http://www.sciencedirect.com/science/article/pii/S1389934101000752
1.18,"Forest canopy damage and recovery in reduced-impact and conventional selective logging in eastern Para, Brazil.",,Pereira et al. 2002,2002,http://www.sciencedirect.com/science/article/pii/S0378112701007320
1.19,Development and economic significance of forest certification: The case of FSC in Bolivia.,,Nebel et al. 2005,2005,http://www.sciencedirect.com/science/article/pii/S1389934103000303
1.20,Reduced-impact logging in Indonesian Borneo: Some results confirming the need for new silvicultural prescriptions.,,Sist et al. 2003,2003,http://www.sciencedirect.com/science/article/pii/S0378112702005339
1.21,Does climber cutting reduce felling damage in southern Cameroon?,,Parren and Bongers 2001,2001,http://www.sciencedirect.com/science/article/pii/S0378112700003273
1.22,Retaining forest biomass by reducing logging damage.,,Pinard and Putz 1996,1996,http://www.jstor.org/stable/2389193?seq=1#page_scan_tab_contents
1.23,"Lessons learned from the implementation of reduced-impact logging in hilly terrain in Sabah, Malaysia.",,Pinard et al. 2000,2000,http://www.jstor.org/stable/42609935?seq=1#page_scan_tab_contents
1.26,Sustainable forestry in the tropics: panacea or folly?,,Pearce et al. 2003,2003,http://www.sciencedirect.com/science/article/pii/S0378112701007988
1.27,"Profitability and social impacts of reduced impact logging in the Tapajos National Forest, Brazil – A case study",,Bacha and Rodriguez 2007,2007,http://www.sciencedirect.com/science/article/pii/S0921800906005209
1.28,Avian responses to selective logging shaped by species traits and logging practices.,,Burivalova et al. 2015,2015,http://rspb.royalsocietypublishing.org/content/282/1808/20150164
1.29,Improved timber harvest techniques maintain biodiversity in tropical forests.,,Bicknell et al. 2014,2014,http://www.sciencedirect.com/science/article/pii/S0960982214014158
1.3,Social impacts of the Forest Stewardship Council certification in the Congo basin,,Cerutti et al. 2017,2017,https://www.cifor.org/library/5951/social-impacts-of-the-forest-stewardship-council-certification-in-the-congo-basin/
1.30,Reduced-Impact Logging as a Carbon-Offset Method.,,Putz and Pinard 1993,1993,http://www.jstor.org/stable/2386806?seq=1#page_scan_tab_contents
1.32,"Do certified tropical logs fetch a market premium? A comparative price analysis from Sabah, Malaysia.",,Kollert and Lagan 2007,2007,http://www.sciencedirect.com/science/article/pii/S1389934106001018
1.33,Why Brazilian companies are certifying their forests?,,Araujo et al. 2009,2009,http://www.sciencedirect.com/science/article/pii/S1389934109000859
1.35,"Reduced Impact Logging in the Tropical Rain Forest of Guyana: Ecological, Economic, and Silvicultural Consequences.",,Van Der Hout 1998,1998,http://www.sciencedirect.com/science/article/pii/S1389934101000752
1.36,Extraccion Forestal de Bajo Impacto en La Mayronga.,,Montenegro 1996,1996,http://www.sciencedirect.com/science/article/pii/S1389934101000752
1.37,Financial and ecological indicators of reduced impact logging performance in the eastern Amazon.,,Holmes et al. 2002,2002,http://www.sciencedirect.com/science/article/pii/S0378112701005308
