key,name,description,author,pubyear,url
4.1,Reserves Protect against Deforestation Fires in the Amazon,,Adeney et al. 2009,2009,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0005014
4.2,Measuring the effectiveness of protected area networks in reducing deforestation,,Andam et al. 2008,2008,http://www.pnas.org/content/105/42/16089.short
4.3,Protected areas reduced poverty in Costa Rica and Thailand,,Andam et al. 2010,2010,http://www.pnas.org/content/107/22/9996.short
4.4,Are conservation strategies effective in avoiding the deforestation of the Colombian Guyana Shield?,,Armenteras et al. 2009,2009,http://www.sciencedirect.com/science/article/pii/S0006320709000767
4.5,Dynamic performance assessment of protected areas,,Barber et al. 2012,2012,http://www.sciencedirect.com/science/article/pii/S0006320711004563
4.6,Paper park performance: Mexico's natural protected areas in the 1990s,,Blackman et al. 2015,2015,http://www.sciencedirect.com/science/article/pii/S0959378014002027
4.7,"The relative effectiveness of protected areas, a logging ban, and sacred areas for old-growth forest protection in southwest China",,Brandt et al. 2015,2015,http://www.sciencedirect.com/science/article/pii/S0006320714003607
4.8,Effectiveness of Parks in Protecting Tropical Biodiversity,,Bruner et al. 2001,2001,http://science.sciencemag.org/content/291/5501/125.full
4.9,Estimating the Impacts of Bolivia’s Protected Areas on Poverty,,Canavire-Bacarreza and Hanauer 2013,2012,http://www.sciencedirect.com/science/article/pii/S0305750X12001702
4.10,Protected area effectiveness in reducing conversion in a rapidly vanishing ecosystem: The Brazilian Cerrado,,Carranza et al. 2014,2014,http://onlinelibrary.wiley.com/doi/10.1111/conl.12049/full
4.11,Impacts of Protected Areas on Local Livelihoods in Cambodia,,Clements et al. 2014,2014,http://www.sciencedirect.com/science/article/pii/S0305750X14000746
4.12,Local scale comparisons of biodiversity as a test for global protected area ecological performance: A meta-analysis,,Coetzee et al. 2014,2014,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0105824
4.13,Lowland Forest Loss in Protected Areas of Indonesian Borneo,,Curran et al. 2004,2004,http://science.sciencemag.org/content/303/5660/1000.full
4.14,Increasing Isolation of Protected Areas in Tropical Forests over the past Twenty Years,,DeFries et al. 2005,2005,http://onlinelibrary.wiley.com/doi/10.1890/03-5258/full
4.15,Protecting ecosystems and alleviating poverty with parks and reserves: 'Win-win' or tradeoffs?,,Ferraro and Hanauer 2011,2011,https://link.springer.com/article/10.1007%2Fs10640-010-9408-z?LI=true
4.16,"More strictly protected areas are not necessarily more protective: evidence from Bolivia, Costa Rica, Indonesia, and Thailand",,Ferraro et al. 2013,2013,http://iopscience.iop.org/article/10.1088/1748-9326/8/2/025011/meta
4.17,"Community perceptions of four protected areas in the Northern portion of the Cerrado hotspot, Brazil",,Ferreira and Freire 2009,2009,https://www.cambridge.org/core/journals/environmental-conservation/article/community-perceptions-of-four-protected-areas-in-the-northern-portion-of-the-cerrado-hotspot-brazil/223E10A4E0714A187E4DBFC5E155C46A
4.18,Effectiveness of natural protected areas to prevent land use and land cover change in Mexico,,Figueroa and Sanchez-Cordero 2008,2008,https://link.springer.com/article/10.1007/s10531-008-9423-3
4.19,Evaluating whether protected areas reduce tropical deforestation in Sumatra,,Gaveau et al. 2009,2009,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2699.2009.02147.x/full
4.20,"Parks, People, and Forest Protection: An Institutional Assessment of the Effectiveness of Protected Areas",,Hayes 2006,2006,http://www.sciencedirect.com/science/article/pii/S0305750X06001562
4.21,Forest loss in protected areas and intact forest landscapes: A global analysis,,Heino et al. 2015,2015,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0138918
4.22,Deforestation and forest degradation as measures of Popa Mountain Park (Myanmar) effectiveness,,Htun et al. 2010,2010,https://www.cambridge.org/core/journals/environmental-conservation/article/deforestation-and-forest-degradation-as-measures-of-popa-mountain-park-myanmar-effectiveness/DE9BEFBCD5A50F3B612852A166FE29E0
4.23,Assessment of Paraguay's forest cover change using Landsat observations,,Huang et al. 2009,2009,http://www.sciencedirect.com/science/article/pii/S0921818108002105
4.24,Global protected area impacts,,Joppa and Pfaff 2011,2011,http://rspb.royalsocietypublishing.org/content/278/1712/1633.short
4.25,"On the protection of ""protected areas""",,Joppa et al. 2008,2008,http://www.pnas.org/content/105/18/6673.short
4.26,Local Residents Perception of Benefits and Losses From Protected Areas in India and Nepal,,Karanth and Nepal 2011,2011,https://link.springer.com/article/10.1007/s00267-011-9778-1
4.27,Assessing Patterns of Human-Wildlife Conflicts and Compensation around a Central Indian Protected Area,,Karanth et al. 2012,2012,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0050433
4.28,Patterns of human-wildlife conflicts and compensation: Insights from Western Ghats protected areas,,Karanth et al. 2013,2013,http://www.sciencedirect.com/science/article/pii/S0006320713002176
4.29,Averting biodiversity collapse in tropical forest protected areas.,,Laurance et al. 2012,2012,https://www.nature.com/articles/nature11318
4.30,The importance of protected areas for the forest and endemic avifauna of Sulawesi (Indonesia),,Lee et al. 2007,2007,http://onlinelibrary.wiley.com/doi/10.1890/06-1256.1/full
4.31,Land and Forest Degradation inside Protected Areas in Latin America,,Leisher et al. 2013,2013,http://www.mdpi.com/1424-2818/5/4/779/htm
4.32,Ecological Degradation in Protected Areas: The Case of Wolong Nature Reserve for Giant Pandas,,Liu et al. 2001,2001,http://science.sciencemag.org/content/292/5514/98.full
4.33,Assessing protected area effectiveness using surrounding (buffer) areas environmentally similar to the target area,,Mas 2005,2005,https://link.springer.com/article/10.1007%2Fs10661-005-3156-5?LI=true
4.34,Do Parks Work? Impact of Protected Areas on Land Cover Clearing,,Nagendra 2008,2008,http://www.bioone.org/doi/abs/10.1579/06-R-184.1
4.35,The Role of Protected Areas in Conserving Biodiversity and Sustaining Local Livelihoods,,Naughton-Treves et al. 2005,2005,http://www.annualreviews.org/doi/abs/10.1146/annurev.energy.30.050504.164507
4.36,Effectiveness of Strict vs. Multiple Use Protected Areas in Reducing Tropical Forest Fires: A Global Analysis Using Matching Methods,,Nelson and Chomitz 2011,2011,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0022722
4.37,Inhibition of Amazon Deforestation and Fire by Parks and Indigenous Lands,,Nepstad et al. 2006,2006,http://onlinelibrary.wiley.com/doi/10.1111/j.1523-1739.2006.00351.x/full
4.38,Governance regime and location influence avoided deforestation success of protected areas in the Brazilian Amazon,,Nolte et al. 2013,2013,http://www.pnas.org/content/110/13/4956.short
4.39,"Human-wildlife conflict and gender in protected area borderlands: A case study of costs, perceptions, and vulnerabilities from Uttarakhand (Uttaranchal), India",,Ogra 2008,2008,http://www.sciencedirect.com/science/article/pii/S0016718507002102
4.40,Does designation of protected areas ensure conservation of tree diversity in the Sudanian dry forest of Burkina Faso?,,Paré et al. 2010,2010,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2028.2009.01113.x/full
4.41,"Governance, Location and Avoided Deforestation from Protected Areas: Greater Restrictions Can Have Lower Impact, Due to Differences in Location",,Pfaff et al. 2014,2014,http://www.sciencedirect.com/science/article/pii/S0305750X1300017X
4.42,"Protected area types, strategies and impacts in Brazil's Amazon: public protected area strategies do not yield a consistent ranking of protected area types by impact",,Pfaff et al. 2015,2015,http://rstb.royalsocietypublishing.org/content/370/1681/20140273
4.43,Protected areas: mixed success in conserving East Africa's evergreen forests.,,Pfeifer et al. 2012,2012,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0039337
4.44,"Who Gains and Who Loses from Compensated Displacement from Protected Areas? The Case of the Derema Corridor, Tanzania",,Rantala et al. 2013,2013,http://www.conservationandsociety.org/article.asp?issn=0972-4923;year=2013;volume=11;issue=2;spage=97;epage=111;aulast=Rantala
4.45,"Effectiveness of Protected Areas in Mitigating Fire within Their Boundaries: Case Study of Chiapas, Mexico",,Roman-Cuesta and Martinez-Vilalta 2006,2006,http://onlinelibrary.wiley.com/doi/10.1111/j.1523-1739.2006.00478.x/full
4.46,Protected Areas and Conservation of Biodiversity in the Tropics,,Sanchez-Azofeifa et al. 1999,1999,http://onlinelibrary.wiley.com/doi/10.1046/j.1523-1739.1999.013002407.x/full
4.47,Conservation and development: Evidence from Thai protected areas,,Sims 2010,2010,http://www.sciencedirect.com/science/article/pii/S0095069610000586
4.48,Spatial and temporal deforestation dynamics in protected and unprotected dry forests: a case study from Myanmar (Burma),,Songer et al. 2009,2009,https://link.springer.com/article/10.1007/s10531-008-9490-5
4.49,Assessing the impact of Celaque National Park on forest fragmentation in western Honduras,,Southworth et al. 2004,2004,http://www.sciencedirect.com/science/article/pii/S0143622804000268
4.50,A global analysis of deforestation in moist tropical forest protected areas,,Spracklen et al. 2015,2015,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0143886
4.51,"Conservation, relocation and the social consequences of conservation policies in protected areas: Case study of the Sariska Tiger Reserve, India",,Torri 2011,2011,http://www.conservationandsociety.org/article.asp?issn=0972-4923;year=2011;volume=9;issue=1;spage=54;epage=64;aulast=
4.52,"Protected areas, poverty and conflicts. A livelihood case study of Mikumi National Park, Tanzania.",,Vedeld et al. 2012,2012,http://www.sciencedirect.com/science/article/pii/S1389934112000275
4.53,Poverty and Corruption Compromise Tropical Forest Reserves,,Wright et al. 2016,2007,http://onlinelibrary.wiley.com/doi/10.1890/06-1330.1/full
4.54,"Local people’s perceptions as decision support for protected area management in Wolong Biosphere Reserve, China",,Xu et al. 2006,2006,http://www.sciencedirect.com/science/article/pii/S0301479705002033
