key,name,description,author,pubyear,url
2.1,Forest Conservation and Slippage: Evidence from Mexico’s National Payments for Ecosystem Services Program,,Alix-Garcia et al. 2012,2012,http://le.uwpress.org/content/88/4/613.short
2.2,Do Payments for Environmental Services Affect Forest Cover? A Farm-Level Evaluation from Costa Rica,,Arriagada et al. 2012,2012,http://le.uwpress.org/content/88/2/382.short
2.3,Do Payments Pay Off? Evidence from Participation in Costa Rica's PES Program,,Arriagada et al. 2015,2015,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0131544
2.4,"Can forest-protection carbon projects improve rural livelihoods? Analysis of the Noel Kempff Mercado climate action project, Bolivia",,Asquith et al. 2002,2002,https://link.springer.com/article/10.1023/A:1024712424319
2.5,"Selling two environmental services: In-kind payments for bird habitat and watershed protection in Los Negros, Bolivia",,Asquith et al. 2008,2008,http://www.sciencedirect.com/science/article/pii/S0921800907006076
2.6,Promoting Forest Stewardship in the Bolsa Floresta Programme: Local Livelihood Strategies and Preliminary Impacts,,Borner et al. 2013,2013,http://fas-amazonas.org/versao/2012/wordpress/wp-content/uploads/2014/02/BF_report_ENG_web.pdf
2.7,Achieving Conservation and Equity amidst Extreme Poverty and Climate Risk: The Makira REDD+ Project in Madagascar,,Brimont et al. 2015,2015,http://www.mdpi.com/1999-4907/6/3/748/htm
2.8,Payments for biodiversity conservation in the context of weak institutions: Comparison of three programs from Cambodia,,Clements et al. 2010,2010,http://www.sciencedirect.com/science/article/pii/S0921800909004595
2.9,Equity implications of marketing ecosystem services in protected areas and rural communities: Case studies from Meso-America,,Corbera et al. 2007a,2007,http://www.sciencedirect.com/science/article/pii/S0959378007000040
2.10,The Equity and Legitimacy of Markets for Ecosystem Services,,Corbera et al. 2007b,2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-7660.2007.00425.x/full
2.11,Institutional dimensions of Payments for Ecosystem Services: An analysis of Mexico's carbon forestry programme,,Corbera et al. 2009,2009,http://www.sciencedirect.com/science/article/pii/S0921800908002632
